Binder Name,Binder Type,Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency,Added
Finale Fantasie,binder,Crystal Fragments // Summon: Alexander,FIN,Final Fantasy,13,normal,uncommon,6,106434,5f51c853-949d-44e9-a3a2-02e1ce69a147,0.1,false,false,near_mint,de,EUR,2025-06-06T20:37:39.106Z
Finale Fantasie,binder,White Mage's Staff,FIN,Final Fantasy,42,normal,common,13,105584,30db372e-0b4c-4e16-9667-bf3fda666f72,0.06,false,false,near_mint,de,EUR,2025-06-06T20:37:39.106Z
Finale Fantasie,binder,Lightning Bolt,FCA,Final Fantasy: Through the Ages,40,normal,uncommon,2,106371,e89794ab-6070-4916-936f-2b42fe41d31b,1.46,false,false,near_mint,de,EUR,2025-06-06T20:37:39.106Z
Finale Fantasie,binder,Astrologian's Planisphere,FIN,Final Fantasy,46,normal,rare,3,106146,bfa4e927-1d6f-4a64-9801-7d168a5ef3f6,3.08,false,false,near_mint,de,EUR,2025-06-06T21:18:44.574Z
Finale Fantasie,binder,"Garnet, Princess of Alexandria",FIN,Final Fantasy,222,normal,uncommon,5,106638,b883df14-8d7b-4f6a-9a6a-2f71f5b6ddda,0.16,false,false,near_mint,de,EUR,2025-06-18T22:09:46.074Z
Finale Fantasie,binder,"Eden, Seat of the Sanctum",FIN,Final Fantasy,277,foil,uncommon,2,106674,e28eac1e-adc7-4f8d-b206-bef09ba07d38,0.31,false,false,near_mint,de,EUR,2025-06-06T20:37:39.106Z
Finale Fantasie,binder,"Elena, Turk Recruit",FIC,Final Fantasy Commander,133,normal,rare,1,106151,c392f20f-4ad0-4302-9b12-15131e8fc9a3,1.53,false,false,near_mint,de,EUR,2025-06-16T18:37:28.476Z
Finale Fantasie,binder,Ignis Scientia,FIN,Final Fantasy,227,foil,uncommon,1,106627,ab4f9721-5b2c-4371-98a5-3f6714265e57,0.21,false,false,near_mint,de,EUR,2025-06-16T18:37:28.476Z
Finale Fantasie,binder,Relm's Sketching,FIN,Final Fantasy,67,normal,uncommon,5,106345,6aedac12-3714-4a81-bd4d-1d2555c66f78,0.23,false,false,near_mint,de,EUR,2025-06-18T22:09:46.074Z
Finale Fantasie,binder,Eject,FIN,Final Fantasy,52,foil,uncommon,2,106631,aec83c9a-8ec4-4a5a-b27f-0e74a2b3d21e,0.2,false,false,near_mint,de,EUR,2025-07-21T16:33:42.764Z
Finale Fantasie,binder,G'raha Tia,FIN,Final Fantasy,21,normal,uncommon,6,106501,076a8eca-ed73-4ee9-aab4-d9d43d394ee6,0.09,false,false,near_mint,de,EUR,2025-06-26T14:32:37.233Z
Finale Fantasie,binder,Evil Reawakened,FIN,Final Fantasy,98,foil,uncommon,1,106300,eb98cbc3-749c-44f4-974c-00be1286d69e,0.15,false,false,near_mint,de,EUR,2025-08-15T14:42:35.240Z
Finale Fantasie,binder,Bard's Bow,FIN,Final Fantasy,174,foil,common,1,106530,2ac03e90-1e16-453f-88e4-a0448db73403,0.14,false,false,near_mint,de,EUR,2025-06-16T18:37:28.476Z
Finale Fantasie,binder,"Ultima, Origin of Oblivion",FIN,Final Fantasy,2,normal,rare,1,106186,d55a4c02-1aa4-454c-9041-84937377a53b,2.11,false,false,near_mint,de,EUR,2025-06-06T20:37:39.106Z
Finale Fantasie,binder,Balamb T-Rexaur,FIN,Final Fantasy,173,foil,common,1,106456,e5857b1b-73bc-458e-b26b-7ed8bef785f3,0.2,false,false,near_mint,de,EUR,2025-07-10T17:20:07.144Z
Finale Fantasie,binder,"Sin, Spira's Punishment",FIN,Final Fantasy,242,normal,rare,3,103790,659be746-bd31-4a70-8cec-7798da78b0b5,0.27,false,false,near_mint,de,EUR,2025-06-28T15:30:59.802Z
Finale Fantasie,binder,Reaper's Scythe,FIC,Final Fantasy Commander,117,normal,rare,1,105985,723d9139-d75e-42e9-8ffc-5df053096839,1.29,false,false,near_mint,de,EUR,2025-06-16T18:37:28.476Z
Finale Fantasie,binder,Iron Giant,FIN,Final Fantasy,260,normal,common,13,106675,e48cf6d5-4d32-4b66-80be-3495ecd3e906,0.07,false,false,near_mint,de,EUR,2025-06-06T20:37:39.106Z
Finale Fantasie,binder,Unexpected Request,FIN,Final Fantasy,167,foil,uncommon,2,106495,0265fd20-a85d-49ce-b338-4c40843a5b18,0.2,false,false,near_mint,de,EUR,2025-06-16T18:37:28.476Z
Finale Fantasie,binder,Louisoix's Sacrifice,FIN,Final Fantasy,59,foil,rare,1,106544,4a6976f2-0bd5-449a-8fcf-f5a732ce22c1,4.99,false,false,near_mint,de,EUR,2025-06-30T18:02:09.648Z
Finale Fantasie,binder,Black Waltz No. 3,FIN,Final Fantasy,214,normal,uncommon,5,106696,fe86e41b-b0f6-4aa1-8827-c095c721f304,0.15,false,false,near_mint,de,EUR,2025-06-06T20:37:39.106Z
Finale Fantasie,binder,Machinist's Arsenal,FIN,Final Fantasy,23,foil,rare,1,106381,ff976428-2145-4630-aab1-08870b90b2f0,0.5,false,false,near_mint,de,EUR,2025-06-16T18:37:28.476Z
Finale Fantasie,binder,"Firion, Wild Rose Warrior",FIN,Final Fantasy,137,foil,rare,1,105673,98366937-d15b-4a66-b9f6-878d50b63871,0.92,false,false,near_mint,de,EUR,2025-10-04T23:14:25.729Z
Finale Fantasie,binder,"Guadosalam, Farplane Gateway",FIN,Final Fantasy,281,normal,common,8,106668,dfcbc131-fd50-4908-b539-c8e52bb70c58,0.08,false,false,near_mint,de,EUR,2025-06-06T20:37:39.106Z
Finale Fantasie,binder,Balthier and Fran,FIN,Final Fantasy,213,normal,rare,4,105695,afcaed7d-7ea3-4f2a-a7f5-ee3315226369,0.17,false,false,near_mint,de,EUR,2025-06-06T20:37:39.106Z
Finale Fantasie,binder,"Raubahn, Bull of Ala Mhigo",FIN,Final Fantasy,465,foil,rare,1,106535,3732c276-3635-46e0-a46e-1b433501d3fd,8.6,false,false,near_mint,de,EUR,2025-08-15T12:42:42.301Z
Finale Fantasie,binder,Travel the Overworld,FIN,Final Fantasy,82,normal,uncommon,2,106625,aa5086e0-e2f2-498f-9035-1b31e1d21e0a,0.09,false,false,near_mint,de,EUR,2025-08-15T14:42:35.240Z
Finale Fantasie,binder,The Gold Saucer,FIN,Final Fantasy,279,foil,uncommon,2,106551,5363c881-443d-43df-afd8-f81e1a1741a2,0.35,false,false,near_mint,de,EUR,2025-06-16T18:37:28.476Z
Finale Fantasie,binder,Y'shtola Rhul,FIN,Final Fantasy,443,normal,mythic,1,105680,a1d3d33d-4cd9-4009-82c9-adb2e1ec45cb,8.16,false,false,near_mint,de,EUR,2025-06-20T19:48:09.225Z
Finale Fantasie,binder,Balthier and Fran,FIN,Final Fantasy,538,foil,rare,1,105691,ab6954bc-4fbc-4cb9-9c4d-1f46b3fe0085,13.23,false,false,near_mint,de,EUR,2025-06-16T18:37:28.476Z
Finale Fantasie,binder,"Guadosalam, Farplane Gateway",FIN,Final Fantasy,281,foil,common,2,106668,dfcbc131-fd50-4908-b539-c8e52bb70c58,0.14,false,false,near_mint,de,EUR,2025-07-10T17:20:07.144Z
Finale Fantasie,binder,Suplex,FIN,Final Fantasy,164,normal,common,12,106376,f61693a2-7042-44e0-85ba-9bf12ab94e7e,0.13,false,false,near_mint,de,EUR,2025-06-06T20:37:39.106Z
Finale Fantasie,binder,Summon: Primal Odin,FIN,Final Fantasy,365,foil,rare,1,105727,d8117e64-6e43-4aa8-90df-c5b21fbb9182,5.42,false,false,near_mint,de,EUR,2025-06-16T18:37:28.476Z
Finale Fantasie,binder,"Gilgamesh, Master-at-Arms",FIN,Final Fantasy,338,normal,rare,1,105649,816f618c-ed6c-4320-9c33-9ae903e32abf,0.02,false,false,near_mint,de,EUR,2025-06-16T18:37:28.476Z
Finale Fantasie,binder,Thief's Knife,FIN,Final Fantasy,81,normal,uncommon,6,106645,c2dcfd0a-3f52-4616-a09a-fd2db8b6b93e,0.1,false,false,near_mint,de,EUR,2025-06-13T21:14:38.817Z
Finale Fantasie,binder,Town Greeter,FIN,Final Fantasy,209,foil,common,1,105610,49cd4efa-4df4-4257-9a42-60330f7781e2,0.21,false,false,near_mint,de,EUR,2025-08-15T22:34:58.086Z
Finale Fantasie,binder,Shinra Reinforcements,FIN,Final Fantasy,118,normal,common,10,106282,7367b257-1a8c-4593-a307-7116e36e0342,0.07,false,false,near_mint,de,EUR,2025-06-06T20:37:39.106Z
Finale Fantasie,binder,Tifa's Limit Break,FIN,Final Fantasy,207,normal,uncommon,4,106524,24d6eab7-22bd-494f-8cbe-204446f24be9,0.26,false,false,near_mint,de,EUR,2025-06-18T22:09:46.074Z
